year,CusPct,did,Industry,Lev,HighTech_1,quality,Size,ROA,Age,amount,Emply,hfd5,ln_Cus,IndustryLernerIndex,upstream,treated,policy,_quality,_amount,_did,lnlab,light,ind_str,sc,GTFP,SpatialDistance,GIE,did_2,iv,id,t_amount,t_quality,t_GIE
2012,4.88,1,C30,3.15039,0,0,22.31144,0.014686,2.70805,0,7.273093,0.305556,18.32603,0.114552,1,1,2012,0,0,1,,,,0,0.8569856,1335.5402,0,0,6.677771,250,0,0,0
2013,4.58,0,C30,3.48723,0,0,22.29555,0.0406289,2.772589,0,7.094235,0.287261,18.3423,0.142646,1,1,2017,0,0,0,,,,0,,1335.5402,,0,6.677771,250,0,0,
2009,2.86,0,I64,1.788891,1,0,21.40698,0.0166591,2.397895,0,6.159095,0.103257,18.57961,0.059018,0,1,2012,0,0,0,6.920349,15.063479,274.56,1,0.7740216,8.383449,0,1,7.073476,251,0,0,0
2010,1.77,0,I64,1.768302,1,0.4444444,21.43145,0.0177788,2.484907,0,5.926926,0.103269,18.19005,0.05027,1,1,2012,0.6666666,0,0,6.981923,18.090527,274.23,1,0.827232,8.383449,0,1,7.085878,251,0,0,0
2011,2.33,0,I64,1.718679,1,0,21.4799,0.0213301,2.564949,0,5.993961,0.103297,18.63362,0.063523,0,1,2012,0,0,0,6.862555,16.531709,275.23,1,0.85866693,8.383449,0,1,7.073507,251,0,0,0
2008,4.01,0,C28,1.628528,1,0,21.95522,-0.0811406,2.772589,0,9.050876,0.210172,18.19938,-0.038923,1,0,,0,0,0,4.042827,9.4636034,217.54,1,0.74981013,1.789063,0,0,7.090442,252,0,0,0
2009,4.01,0,C28,1.586439,1,0,22.07094,0.0273804,2.833213,0,9.062536,0.2104,18.3935,0.051978,1,1,2010,0,0,0,4.143208,8.1949214,217.1,1,0.77600133,1.789063,0,0,7.017485,252,0,0,0
2010,3.47,0,C28,1.723506,1,0,22.21925,0.0352371,2.890372,0,9.226213,0.180144,18.63234,0.077681,1,0,,0,0,0,4.181563,9.0240629,215.89,1,0.829408,1.789063,0,1,7.136817,252,0,0,0
2011,3.91,0,C28,1.631814,1,0,22.28283,0.0013408,2.944439,0,9.277999,0.171859,18.85977,0.055929,1,1,2012,0,0,0,4.228093,9.3176542,215.71,1,0.8327344,1.789063,0,1,7.079865,252,0,0,0
2012,4.04,1,C28,1.62594,1,0,22.20964,-0.0304567,2.995732,0,9.251099,0.171593,,0.007689,1,1,2010,0,0,1,4.249411,9.4547763,218.11,1,,1.789063,,1,7.085551,252,0,0,
2013,4.52,0,C28,1.67269,1,0,22.18361,0.0069472,3.044523,0,9.185637,0.171019,18.81385,0.00911,1,0,,0,0,0,4.529216,9.4384522,219.37,1,0.8906216,1.789063,0,1,7.166757,252,0,0,0
2014,4.87,0,C28,2.169624,1,0,22.22033,0.0206377,3.091043,0,9.096164,0.115158,18.72423,0.029247,1,0,,0,0,0,4.620469,10.173277,219.71,1,0.9294512,1.789063,0,1,7.092538,252,0,0,0
2015,4.1,0,C28,2.022152,1,0,22.32832,0.0292598,3.135494,0,9.11515,0.112619,18.64898,0.038865,1,0,,0,0,0,4.676651,9.8125756,227.68,1,0.94313333,1.789063,0,0,7.109775,252,0,0,0
2016,4.56,0,C28,2.681908,1,0.5,22.46324,0.021518,3.178054,0,9.135185,0.106831,18.93744,0.059209,1,0,,0.5,0,0,4.978881,9.1131802,229.86,1,0.9962496,1.789063,0,0,7.100969,252,0,0,0
2017,4.21,0,C28,2.223843,1,0,22.59189,0.005031,3.218876,0,9.129997,0.116585,18.9311,0.056798,1,0,,0,0,0,4.94872,14.335792,232.045,1,1.0194437,1.789063,0,0,7.084277,252,0,0,0
2009,10.48,0,C26,2.589104,1,0,22.03923,0.0653871,2.397895,0,7.205635,0.296606,19.20212,0.07677,1,1,2012,0,0,0,6.404286,1.572259,228.58,1,0.7778496,1407.6494,0,0,6.242961,253,0,0,0
2009,6.75,0,C36,1.245245,1,0,23.49977,0.041474,2.484907,0,8.607947,0.408176,21.04065,0.052998,0,1,2017,0,0,0,5.747991,10.961407,245.47,1,0.7967344,12.527201,0,0,7.18901,254,0,0,0
2010,9.33,0,C36,1.254541,1,0,23.70412,0.0490067,2.564949,0,8.767329,0.407078,21.71545,0.085479,0,1,2017,0,0,0,5.61057,12.36507,247.1,1,0.812456,12.527201,0,1,7.250891,254,0,0,0
2011,16.51,0,C36,1.295945,1,0,23.65393,0.0292788,2.639057,0,8.804925,0.406823,22.18192,0.078588,0,1,2017,0,0,0,5.50475,12.065432,247.69,1,0.84873867,12.527201,0,1,7.139763,254,0,0,0
2012,,0,C36,1.442566,1,0,23.34405,0.0071627,2.70805,0,8.901503,0.407229,22.36917,0.060215,0,1,2017,0,0,0,5.557896,12.615144,249.14,1,0.8566016,12.527201,0,1,7.146439,254,0,0,0
2014,19.64,0,C36,1.417375,1,0,23.53841,0.0353941,2.833213,0,9.059052,0.406868,22.26792,0.046885,0,1,2017,0,0,0,5.6738,12.925458,250.75,1,0.93582507,12.527201,0,0,7.18576,254,0,0,0
2015,,0,C36,1.434535,1,0,23.55426,0.0206689,2.890372,0,9.016149,0.407589,22.37778,0.045423,0,1,2017,0,0,0,5.675665,13.004408,252.19,1,0.93409867,12.527201,0,0,7.162006,254,0,0,0
2016,,0,C36,1.366154,1,0,23.73471,0.0288725,2.944439,0,9.007979,0.407737,22.58217,0.050048,0,1,2017,0,0,0,5.788312,12.656969,254.03,1,0.9847392,12.527201,0,1,7.160334,254,0,0,0
2009,10.33,0,C26,1.139109,1,0,20.85953,-0.1198266,2.833213,0,7.279319,0.241537,18.00066,0.07677,1,0,,0,0,0,3.51936,0.38976213,213.73,0,0.78004587,,0,1,7.049453,255,0,0,0
2013,13.71,0,C17,3.013839,0,0,20.73065,-0.0518452,2.70805,0,6.487684,0.03045,17.24949,0.068547,0,0,,0,0,0,,,,0,0.9119352,,0,0,7.463552,256,0,0,0
2012,6.88,0,C36,1.341218,1,0,21.72033,0.0230414,2.944439,1.098612,8.029107,0.05003,19.10063,0.060215,0,1,2017,0,1,0,4.177502,8.2352873,220.72,1,0.88723627,1.53258,0.0405335,0,7.227841,257,0,0,0
2013,3.61,0,C36,1.324808,1,0,21.90356,0.0344458,2.995732,0,8.05706,0.049429,18.57116,0.051481,0,1,2017,0,0,0,4.545152,8.7684198,222.83,1,0.8887912,1.53258,0,0,7.260517,257,0,0,0
2014,6.36,0,C36,1.339634,1,0.5,22.16475,0.0771339,3.044523,1.098612,8.059908,0.048739,19.25179,0.046885,1,0,,0.5,0.6666667,0,4.305997,7.8723355,223.96,1,0.91407413,1.53258,0.0399493,0,7.211879,257,0,0,0
2009,20.46,0,D44,0.7921359,0,0,21.24888,-0.5604802,2.484907,0,7.90802,0.105724,19.18736,0.155682,1,1,2012,0,0,0,4.803204,7.4207499,229.88,1,0.7990776,1.53258,0,1,6.991722,258,0,0,0
2010,,0,C31,1.91887,1,0,23.58828,0.0128924,2.484907,0,8.819369,0.399934,22.49155,0.042047,1,1,2012,0,0,0,6.981923,18.090527,274.23,1,0.839632,1178.0147,0,1,7.085878,259,0,0,0
2011,6.05,1,C31,1.92492,1,0,23.52611,-0.0114539,2.564949,0,8.065266,0.399936,20.44553,0.028215,1,1,2012,0,0,0,6.862555,16.531709,275.23,1,,1178.0147,0,1,7.073507,259,0,0,0
2008,0.07,0,C32,1.55565,1,0,22.64862,0.0034261,2.397895,0,9.617604,0.266903,20.27414,0.060061,1,1,2012,0,0,0,5.319273,3.7688354,243.35,1,0.76734933,1178.0147,0,0,7.180599,260,0,0,0
2009,5.9,0,C32,1.531654,1,0,22.72495,0.0132946,2.484907,0,9.616738,0.267048,19.83206,0.042071,1,1,2012,0,0,0,5.117515,3.9384608,241.79,1,0.775692,1178.0147,0,0,7.349292,260,0,0,0
2015,2.12,1,E48,1.159192,0,0,25.28997,0.0048915,2.890372,0,8.801168,0.463157,19.88953,0.082081,0,1,2010,0,0,1,,,,0,0.95055333,1178.0147,0,0,6.677771,261,0,0,0
2016,0.98,1,E48,1.159755,0,0,25.4866,0.0033656,2.944439,0,8.801168,0.30182,19.63898,0.065097,0,1,2012,0,0,1,,,,0,0.99696,979.57668,0,1,6.677771,261,0,0,0
2017,0.69,1,E48,1.104783,0,0,25.88807,0.0036809,2.995732,0,9.224145,0.30101,19.6984,0.067217,0,1,2010,0,0,1,,,,0,1.0216341,891.32034,0,1,6.677771,261,0,0,0
2018,3.63,1,K70,1.090668,0,0,26.1858,0.0112616,3.044523,0,9.706255,0.299932,19.33068,0.254909,0,1,2012,0,0,1,,,,0,1.0633008,1199.1031,0,1,6.677771,261,0,0,0
2019,1.63,1,K70,1.101698,0,0,26.39511,0.0175675,3.091043,0,10.66835,0.289385,20.88083,0.246547,0,1,2017,0,0,0,,,,0,1.0813816,125.99838,0,1,6.677771,261,0,0,0
2020,1.08,1,K70,1.155563,0,0,26.60729,0.024019,3.135494,0,10.74968,0.290722,20.55919,0.209276,0,1,2010,0,0,1,3.619797,0.48605563,220.15,0,1.097984,1181.0705,0,1,6.677771,261,0,0,0
2021,2.11,1,K70,1.131601,0,0,26.63128,-0.0090911,3.178054,0,10.4923,0.293633,21.23885,0.160937,0,1,2010,0,0,1,4.530954,6.5686434,225.27,0,1.1051741,1182.4978,0,1,6.677771,261,0,0,0
2009,96.72,0,D44,1.162121,0,0,23.41963,0.0023489,2.70805,0,8.467583,0.154113,22.45649,0.155682,1,1,2012,0,0,0,5.718014,8.4812485,247.21,1,0.77616373,0.976013,0,0,6.985182,262,0,0,0
2009,,0,C34,2.239163,1,0,20.73084,-0.0170901,2.833213,0,6.610696,0.161964,19.50344,0.077839,1,1,2010,0,0,0,4.963034,7.1928511,232.23,0,0.78632533,232.6389,0,1,7.016095,263,0,0,0
2010,39.04,1,C38,1.927101,1,0,20.82438,0.0166784,2.890372,0,6.514713,0.161962,20.27401,0.068118,1,1,2010,0,0,0,5.117634,10.934911,233.25,0,,232.6389,0,1,6.964611,263,0,0,0
2011,,0,C38,1.527542,1,0,21.44092,0.0605548,2.944439,0,7.390799,0.161967,20.07058,0.070797,1,1,2012,0,0,0,5.221396,10.67516,234.6,0,0.8389592,232.6389,,1,7.096373,263,0,0,
2012,18.11,1,C38,1.852272,1,0,21.34028,0.025114,2.995732,0,7.282073,0.16199,19.96084,0.071307,1,1,2012,0,0,1,5.284961,11.047579,236.2,0,0.89393493,232.6389,0,1,7.052611,263,0,0,0
2014,10.69,1,C38,2.352883,1,0,21.65477,0.0275293,3.091043,0,7.559559,0.156222,19.59197,0.088052,1,1,2010,0,0,1,5.483891,14.61309,239.01,0,0.94714933,583.42553,0,0,6.931193,263,0,0,0
2015,8.36,1,C38,2.708472,1,0,22.42027,0.0268842,3.135494,0,7.848544,0.12153,19.35408,0.085989,1,1,2010,0,0,1,5.581931,14.487985,240.65,0,,583.42553,0,1,6.863778,263,0,0,0
