year,CusPct,did,Industry,Lev,HighTech_1,quality,Size,ROA,Age,amount,Emply,hfd5,ln_Cus,IndustryLernerIndex,upstream,treated,policy,_quality,_amount,_did,lnlab,light,ind_str,sc,GTFP,SpatialDistance,GIE,did_2,iv,id,t_amount,t_quality,t_GIE
2009,1.49,0,K70,1.431482,0,0,22.7073,0.0508165,3.044523,0,5.521461,0.038027,17.13067,0.282605,0,1,2010,0,0,0,6.27962,46.446888,253.15,0,0.80254987,6.597865,0,1,7.320304,1,0,0,0
2009,4.31,0,E47,1.412369,0,0,20.79579,0.0238408,3.258096,0,7.009409,0.139056,17.33125,0.086362,0,1,2012,0,0,0,6.27962,46.446888,253.15,0,0.8111184,7.673726,0,0,7.320304,2,0,0,0
2009,8.22,0,S90,1.468482,0,0,20.23141,0.0132517,2.833213,0,6.577861,0.438563,17.387,0.113533,0,1,2010,0,0,0,6.27962,46.446888,253.15,0,0.8054112,,0,1,7.320304,3,0,0,0
2009,94.15,0,D44,2.076839,0,0,24.13276,0.077726,2.833213,0,4.919981,0.414566,23.0956,0.155682,1,1,2012,0,0,0,6.27962,46.446888,253.15,0,0.78802667,103.51417,0,0,7.320304,4,0,0,0
2008,3.09,0,C27,1.213988,1,0,22.02726,0.0493028,2.772589,0,8.334231,0.155998,19.36448,0.099114,0,1,2017,0,0,0,6.208089,48.335049,250.97,0,0.76000213,2292.5987,0,0,7.276974,5,0,0,0
2009,2.3,0,C27,1.201621,1,0,22.37834,0.0444655,2.833213,0,8.174703,0.148999,19.34557,0.112432,0,1,2017,0,0,0,6.27962,46.446888,253.15,0,0.80751467,2292.5987,0,0,7.320304,5,0,0,0
2013,28.64,0,C41,2.484036,1,0,22.68482,0.1654893,3.044523,0,8.759512,0.129844,21.12712,0.047788,1,0,,0,0,0,5.503839,5.7197025,233.58,1,0.896632,1.808071,0,0,7.602555,6,0,0,0
2014,27.57,0,C36,2.898161,1,0.32,22.70718,0.0935113,3.091043,0,8.755265,0.112917,21.04632,0.046885,1,0,,0.8,0,0,5.477602,4.8476433,234.91,1,0.92555253,1.808071,0,0,7.50832,6,0,0,0
2015,26.06,0,C36,2.907927,1,0,22.81332,0.0683679,3.135494,0,8.865029,0.113353,20.8444,0.045423,0,0,,0,0,0,5.716259,6.0454766,237.5,1,0.96725067,1.808071,0,0,7.625839,6,0,0,0
2017,29.88,0,C36,2.56548,1,0,23.06164,0.08426,3.218876,0,8.849084,0.113683,21.48839,0.051016,0,0,,0,0,0,5.622851,8.8932007,241.22,1,1.0061928,1.808071,0,0,7.709392,6,0,0,0
2018,24.91,0,C36,2.565126,1,0.4444444,23.18133,0.079257,3.258096,0,8.930627,0.121794,21.39442,0.062756,1,0,,0.6666666,0,0,5.587102,7.1512248,242.64,1,1.0570181,1.808071,0,0,7.694331,6,0,0,0
2019,,0,C36,2.363413,1,0,23.28209,0.0717999,3.295837,0,8.915298,0.123195,21.82651,0.056753,0,0,,0,0,0,5.57644,8.9761905,245.96,1,1.0799776,162.23129,0,0,7.695175,6,0,0,0
2020,28.43,0,C36,2.337474,1,0,23.39475,0.0663548,3.332205,0,8.90883,0.124093,21.87372,0.059728,0,0,,0,0,0,6.208089,48.335049,250.97,1,1.0926827,162.23129,0,0,7.641363,6,0,0,0
2021,26.27,0,C36,2.340724,1,0,23.422,0.0530893,3.367296,0,8.948326,0.123002,21.938,0.058442,0,0,,0,0,0,6.920349,15.063479,274.56,1,1.1158779,162.23129,0,0,7.624453,6,0,0,0
2014,,0,N77,1.983079,0,0,21.90875,0.1066283,3.044523,0,6.823286,0.076102,18.69705,0.216164,1,1,2017,0,0,0,5.74998,19.043095,238.23,1,0.93708533,162.23129,0,0,7.585917,7,0,0,0
2015,,0,N77,1.726023,0,0,22.20465,0.0594932,3.091043,0,7.137279,0.071477,18.99297,0.225114,1,1,2017,0,0,0,5.726105,19.039242,240.03,1,0.93814,162.23129,0,1,7.470691,7,0,0,0
2016,,0,N77,1.523995,0,0,22.51477,0.040726,3.135494,0,7.307202,0.116122,19.10338,0.207689,1,1,2017,0,0,0,5.750715,18.479517,242.32,1,0.9759168,162.23129,0,1,7.548317,7,0,0,0.1796519
2017,12.3,1,N77,1.599853,0,0,22.81886,0.031835,3.178054,0.6931472,8.654692,0.097522,,,1,1,2017,0,1,0,5.820609,26.099777,243.015,1,,162.23129,0.0301785,1,7.557814,7,0,0,
2019,3.97,0,N77,1.32881,0,0.72,24.57971,0.0274322,3.258096,0,10.70992,0.037675,20.42056,0.165397,1,0,,0.8,0,0,5.711093,27.792436,241.84,1,1.0785944,67.247343,0,0,7.506735,7,0,0,0
2020,3.14,0,N77,1.329816,0,0.5833333,24.64282,0.0169645,3.295837,0,11.00583,0.037675,20.34859,0.17164,1,0,,0.7413691,0,0,5.391445,36.62882,230,1,1.0801707,67.247343,0,0,7.514957,7,0,0,0
2009,98.1,0,D44,1.716163,0,0,22.31791,0.0242138,2.772589,0,5.894403,0.084815,21.32885,0.155682,1,1,2012,0,0,0,6.27962,46.446888,253.15,0,0.79003733,,0,0,7.320304,8,0,0,0
2009,3.69,0,C33,1.735037,0,0,24.34382,0.0300547,2.890372,1.609438,10.70567,0.110063,20.44208,0.046782,1,0,,0,0.0930233,0,6.27962,46.446888,253.15,0,0.77410667,,0.0509581,0,7.320304,9,0,0.5,0
2009,6.66,0,S90,1.559821,0,0,21.76418,0.0193533,2.772589,0,8.125631,0.068004,17.65347,0.113533,0,0,,0,0,0,6.27962,46.446888,253.15,0,0.78025467,,0,0,7.320304,10,0,0,0
2009,47.46,0,C17,2.594633,0,0,20.50332,0.0555638,2.772589,0,6.64639,0.349887,19.23425,0.071665,0,1,2010,0,0,0,6.27962,46.446888,253.15,0,0.79425973,,0,1,7.320304,11,0,0,0
2011,5.08,1,K70,1.566103,0,0,23.87759,0.0107234,3.135494,0,7.957528,0.544462,18.4385,0.315549,0,1,2010,0,0,0,6.862555,16.531709,275.23,1,0.86029547,,0,1,7.073507,12,1.0986123,0.4722222,0.1590722
2009,18.63,0,C38,1.36175,1,0,20.29963,-0.0624254,2.70805,0,8.006701,0.254586,18.90282,0.075245,1,1,2010,0,0,0,6.27962,46.446888,253.15,0,0.78279893,,0,1,7.320304,13,0,0,0
2008,11.15,0,C39,1.659686,1,0,22.33734,-0.0146513,3.258096,0,8.804175,0.219707,18.84332,0.053299,1,0,,0,0,0,6.208089,48.335049,250.97,0,0.7564704,67.247343,0,0,7.276974,14,0,0,0
2009,10.36,0,C39,1.479438,1,0.625,22.59138,-0.0538991,3.295837,0,8.70996,0.220089,19.22827,0.040875,1,0,,0.75,0,0,6.27962,46.446888,253.15,0,0.80955627,67.247343,0,0,7.320304,14,0,0,0
2009,5.65,0,L71,5.373302,0,0,21.03038,-0.2127145,2.639057,0,5.866468,0.09215,16.61078,0.226727,0,1,2010,0,0,0,6.27962,46.446888,253.15,0,0.77433093,,0,1,7.320304,15,0,0,0
2009,40.15,0,C25,1.42314,1,0,23.81675,0.0106841,2.564949,0,8.978282,0.262686,20.8218,0.085821,1,1,2017,0,0,0,4.252097,9.1690619,217.2,0,0.80148267,,0,0,7.679976,16,5.556828,0.5,0
2009,9.29,0,C32,1.682858,1,0,23.17832,0.0531449,2.772589,0,9.231025,0.103746,20.37269,0.042071,1,0,,0,0,0,6.27962,46.446888,253.15,0,0.7783368,,0,0,7.320304,17,0,0,0
2009,4.14,0,F51,1.978826,0,0,22.67075,0.0237715,2.772589,0,8.588583,0.051648,17.75772,0.056612,0,0,,0,0,0,6.27962,46.446888,253.15,0,0.79741493,,0,0,7.320304,18,0,0,0
2009,47.13,0,L71,2.605173,0,0,21.73454,0.0846344,2.772589,0,9.54567,0.562029,20.75802,0.226727,0,0,,0,0,0,6.27962,46.446888,253.15,0,0.81196907,,0,0,7.320304,19,0,0,0
2009,8.94,0,C39,1.428364,1,0,24.03547,0.0431597,2.564949,0,8.394121,0.229263,21.38586,0.040875,1,1,2010,0,0,0,6.27962,46.446888,253.15,0,0.79988187,,0,1,7.320304,20,0,0,0
2009,56.9,0,C39,1.335763,1,0,20.36866,-0.9986021,2.564949,0,5.356586,0.102605,19.47284,0.040875,1,1,2010,0,0,0,6.27962,46.446888,253.15,0,0.80790133,,0,1,7.320304,21,2.4849067,0,0
2009,2.49,0,C39,2.490563,1,0,20.92848,0.0344414,2.564949,0,7.035269,0.245806,16.89196,0.040875,1,1,2012,0,0,0,6.27962,46.446888,253.15,0,0.7919552,,0,0,7.320304,22,0,0,0
2009,6.84,0,C27,1.280153,1,0,21.87534,0.0002058,2.890372,0,8.031385,0.105919,19.03743,0.112432,0,0,,0,0,0,6.27962,46.446888,253.15,0,0.78990587,,0,0,7.320304,23,0,0,0
2009,3.77,0,G58,12.5801,0,0,22.30495,0.1095601,2.564949,0,6.516193,0.454247,16.53147,0.352623,1,1,2010,0,0,0,6.27962,46.446888,253.15,0,0.782072,,0,1,7.320304,24,0,0,0
2009,12.99,0,G58,9.68467,0,0,22.47953,0.1038934,2.484907,0,8.275376,0.376899,19.19071,0.352623,1,1,2012,0,0,0,6.27962,46.446888,253.15,0,0.77507333,67.247343,0,0,7.320304,25,0,0,0
2009,5.62,0,E47,1.81047,0,0,22.49648,0.0102319,2.833213,0,6.011267,0.135134,18.82487,0.086362,0,1,2010,0,0,0,6.27962,46.446888,253.15,0,0.8033232,,0,1,7.320304,26,0,0,0.1907146
2009,16.19,0,G56,2.551527,0,0,21.6412,0.0470797,2.397895,0,6.688354,0.217642,18.68843,0.025962,1,0,,0,0,0,6.27962,46.446888,253.15,0,0.79080293,,0,0,7.320304,27,0,0,0
2009,5.03,0,C27,2.288399,1,0,20.91014,0.0199974,2.564949,0,8.446556,0.05033,17.68743,0.112432,0,0,,0,0,0,3.967471,4.6739311,228.08,0,0.7745552,295.32171,0,0,7.015174,28,0,0.5833333,0
2010,4.19,0,C27,2.444033,1,0,20.96686,0.0326254,2.639057,0,8.498622,0.045139,17.6213,0.122275,0,1,2017,0,0,0,4.234782,7.9998336,225.94,0,0.815408,78.990465,0,0,7.076013,28,0,0,0.1643825
2011,6.22,1,C27,2.383807,1,0,20.99956,0.0076514,2.70805,0,8.51037,0.044793,,,0,1,2010,0,0,0,4.325169,8.4741308,221.21,0,,78.989935,,1,7.122727,28,0,0,
2012,4.66,0,C27,2.147362,1,0,21.09517,0.0130687,2.772589,0,8.606485,0.044785,18.16156,0.133586,0,1,2017,0,0,0,4.30348,8.3182499,221.57,0,0.85482667,78.989935,0,0,7.146728,28,0,0.5,0.1623449
2013,1.8,0,C27,2.137663,1,0,21.40688,0.0158464,2.833213,0,8.515592,0.015725,17.1288,0.131304,0,0,,0,0,0,4.73493,9.3704874,221.62,0,0.883168,1467.164,0,0,7.142057,28,0,0.5,0.1623691
2014,,0,C27,2.051646,1,0,21.52864,0.0194933,2.890372,0,8.455956,0.022289,18.27639,0.140368,0,0,,0,0,0,3.832556,10.999002,225.87,0,0.93938827,954.77315,0,0,6.999492,28,0,0.5833334,0.1622813
2015,4.55,0,C27,2.056383,1,0,21.55847,0.0138539,2.944439,0,8.422223,0.024001,18.07451,0.147887,0,0,,0,0,0,4.59575,12.328065,233.02,0,0.952812,954.77315,0,1,7.032143,28,0,0.72,0.1629172
2016,3.99,0,C27,1.861822,1,0,21.6357,0.0190636,2.995732,0,8.432289,0.026218,18.21094,0.164948,0,0,,0,0,0,4.690629,12.083014,234.6,0,0.9948192,954.77315,0,1,7.131425,28,0,0.4444444,0.1661297
2017,2.89,0,C27,1.788786,1,0,21.74129,0.0248562,3.044523,0,8.427487,0.023645,18.12701,0.165489,0,0,,0,0,0,4.687562,17.076027,237.165,0,1.0157733,954.77315,0,0,7.03886,28,0,0.25,0
2008,4.4,0,C26,2.83668,1,0,21.80709,0.0512318,2.484907,0,8.523374,0.403232,18.57054,0.127758,1,1,2017,0,0,0,5.777526,7.9247994,239.6,1,0.76929813,954.77315,0,0,6.343267,29,0,0,0
2009,3.95,0,C26,2.52023,1,0.6666666,21.8916,0.0236514,2.564949,0,8.492286,0.40318,18.30354,0.07677,1,1,2017,0.6666666,0,0,5.909413,8.5074294,243.64,1,0.80930107,954.77315,0,0,6.371099,29,0,0,0
2010,,0,C26,2.017859,1,0,21.94053,-0.0663465,2.639057,0,8.495152,0.403158,18.62566,0.093686,1,0,,0,0,0,5.959664,10.674294,245.03,1,0.804064,954.77315,0,1,6.280251,29,0,0,0
2011,6.32,0,C26,1.911722,1,0.72,21.85789,-0.0686704,2.70805,0,8.485084,0.403144,18.64833,0.098815,1,1,2017,0.8,0,0,5.874892,9.3778863,244.58,1,0.85875787,954.77315,0,1,6.411586,29,0,0,0
2009,1.16,0,C35,1.28841,1,0.5,24.24711,0.0849524,2.397895,0.6931472,9.82612,0.079906,19.29745,0.094579,1,1,2012,0.5,0.0714286,0,5.066535,4.2039919,239.85,1,0.77770267,954.77315,0.0276325,1,6.886678,30,0,0,0
2022,3.82,1,C36,0.4448701,1,0.5,23.44844,0.031107,3.401197,0,8.99826,0.68596601,19.62822,,0,1,2012,0.5,0,1,6.920349,15.063479,274.56,1,1.1662224,954.77315,0,1,,30,1.7917595,0,0.1526994
2023,2.99,1,C36,0.4815219,1,0,23.55512,0.045509,3.433987,0,8.984569,0.71310699,19.55491,,0,1,2012,0,0,1,6.920349,15.063479,274.56,1,,954.77315,0,1,,30,0,0,0.1513817
2009,13.7,0,C17,2.779963,0,0,22.07767,0.0235831,2.484907,0,6.400258,0.135074,18.43923,0.071665,0,1,2012,0,0,0,5.764152,21.809971,237.58,1,0.78389707,954.77315,0,0,7.414884,31,0,0,0
2010,,0,S90,3.125317,0,0,22.04303,0.0187982,2.564949,0,6.428105,0.134947,18.54585,0.119882,0,1,2012,0,0,0,5.896428,35.009507,239.69,1,0.83944,954.77315,0,0,7.500317,31,0,0,0
2011,6.23,0,S90,3.771372,0,0,21.97104,0.0298383,2.639057,0,6.437752,0.134798,18.0172,0.11089,0,1,2012,0,0,0,5.967889,34.648812,241.09,1,0.85995653,954.77315,0,1,7.493185,31,0,0,0
2008,,0,C36,1.631309,1,0,24.09975,0.0933179,1.94591,0,10.37433,0.086208,21.79509,0.034367,0,1,2012,0,0,0,4.793431,8.626848,218.98,1,0.74859307,954.77315,0,0,7.311227,32,0.69314718,0.5833333,0.1859609
2009,,0,C36,1.761854,1,0,24.31283,0.1205606,2.079442,0,10.37333,0.0864,22.25522,0.052998,0,1,2012,0,0,0,4.892854,8.7550371,221.33,1,0.776968,954.77315,0,0,7.388782,32,1.3862944,0.72,0.1955986
2010,10.71,0,C36,1.811752,1,0.4722222,24.67758,0.1810203,2.197225,0,10.54991,0.091032,22.59327,0.085479,1,1,2012,0.6458333,0,0,4.956651,10.22943,222.96,1,0.8396,954.77315,0,1,7.476639,32,0,0.5,0
2011,9.52,0,C36,1.885453,1,0.5,24.84303,0.1111654,2.302585,1.098612,10.63166,0.090147,22.46643,0.078588,1,1,2012,0.6016667,0.5,0,5.479472,9.7992639,224.34,1,0.83131253,456.41813,0.0367563,1,7.325703,32,1.0986123,0,0.1833243
2012,7.14,1,C36,1.899147,1,0.5,24.91776,0.0505888,2.397895,1.94591,11.01725,0.090789,21.95785,0.060215,1,1,2012,0.6011111,0.3,1,4.990503,10.224814,226.55,1,,456.41773,0.0504525,1,7.383401,32,0,0,
2013,11.51,1,C36,1.776733,1,0.5,25.08664,0.0527144,2.484907,2.197225,10.62094,0.090419,22.6267,0.051481,1,1,2012,,0.2,1,4.952722,11.033248,228.43,1,,461.30643,0.0536938,1,7.369143,32,0,0,
2009,13.39,0,C38,2.224334,1,0.4722222,22.25042,0.0493343,2.833213,1.098612,7.922261,0.091741,19.82398,0.075245,1,0,,0.3888889,0.3333333,0,4.12053,7.7181545,208.5,0,0.78799573,0.880274,0.038898,0,7.050074,33,0,0,0
2010,11.5,0,C38,1.920236,1,0.5,22.4733,0.0477263,2.890372,2.484907,8.708474,0.090528,19.91028,0.068118,1,0,,0.375,1.222222,0,3.793064,9.2802407,208.71,0,0.827816,0.880274,0.0665577,0,7.180707,33,0,0,0
2011,8.46,0,C38,1.722676,1,0.5,22.67935,0.0474306,2.944439,2.302585,8.702843,0.045244,19.72624,0.070797,1,0,,0.6142857,0.9,0,3.835295,10.008425,210.51,0,0.84882133,0.880274,0.0618747,0,7.186695,33,0,0,0
2012,29.92,0,C38,1.852633,1,0.5,22.65849,0.0813786,2.995732,2.197225,8.608678,0.046135,21.40549,0.071307,1,0,,0.5833333,0.4705882,0,3.981251,9.7530592,212.26,0,,0.861279,0.0595261,0,7.143158,33,0,0,0
2013,21.11,0,C38,1.853158,1,0.5,22.83843,0.1012288,3.044523,2.197225,8.550434,0.042318,21.13573,0.075946,1,0,,0.5350877,0.5,0,4.187566,9.9887663,213.47,0,0.9056256,0.861279,0.0595124,0,7.231471,33,0,0,0
2016,39.21,1,C38,2.118548,1,0.5,23.38358,0.0702165,3.178054,4.189655,8.681011,0.172314,22.04946,0.091661,1,1,2012,0.5842133,0.6701031,1,4.519455,9.5069208,227.52,0,,0.226587,0.0825495,1,6.677771,33,0,0,0
2017,33.92,1,C38,2.130954,1,0.5,23.45169,0.046052,3.218876,4.127134,8.641533,0.171981,21.97725,0.090922,1,1,2012,0.5653781,0.3609467,1,4.600268,16.45657,229.64,0,,0.226587,0.081682,0,7.089725,33,0,0,0
2018,67,1,C38,2.342092,1,0.5,23.4027,0.0183171,3.258096,4.70953,8.59822,0.171733,22.42897,0.117012,1,1,2012,0.5813063,0.4621849,1,4.56684,15.839519,231.76,0,,0.226587,0.0869007,0,6.677771,33,0,0,0
2019,71.78,1,C38,2.35305,1,0.4444444,23.43727,0.0333345,3.295837,4.189655,8.591002,0.188499,22.70982,0.11699,1,1,2012,0.6299031,0.3110048,1,4.520288,18.512939,231.74,0,,0.226587,0.081922,0,7.147899,33,0,0,0
2020,73.53,1,C38,2.209317,1,0.5,23.54501,0.0503283,3.332205,4.718499,8.621013,0.192001,22.83095,0.122807,1,1,2012,0.644546,0.5068493,1,4.449751,19.328656,234.8,0,,0.226587,0.0867801,,7.04821,33,0,0,0
2021,49.93,1,C38,2.352116,1,0.5,23.59504,0.0497256,3.367296,4.510859,8.604837,0.149475,22.513,0.12806,1,1,2012,0.6283951,0.4615385,1,4.616515,4.9741208,218.96,0,,0.226587,0.0843247,,6.677771,33,0,0,0
2011,1.74,0,C30,1.528088,0,0,24.36283,0.0462959,2.890372,0,9.763651,0.208204,19.42739,0.191134,1,1,2012,0,0,0,4.817659,11.846464,222.04,1,0.8283944,,0,1,7.305373,34,0,0,0.185495
2009,,0,K70,1.603685,0,0,24.46933,0.0393415,2.70805,0,6.783325,0.071691,20.50209,0.282605,0,1,2012,0,0,0,6.920349,15.063479,274.56,1,0.77377413,0.226587,0,0,7.073476,35,0,0,0
2010,5.4,1,K70,1.466974,0,0,24.71536,0.0379937,2.772589,0,7.484931,0.070925,19.89824,0.303758,0,1,2010,0,0,0,6.981923,18.090527,274.23,1,,0.226587,0,0,7.085878,35,0,0,0
2009,9.19,0,C26,1.123538,1,0,20.94784,-0.0324343,2.833213,0,7.747597,0.096185,17.57233,,1,1,2012,0,0,0,4.771215,7.2265682,252.58,0,0.78036293,,0,0,7.211978,36,0,0,0
2010,13.25,0,C34,1.329037,1,0,22.00202,0.0245305,2.833213,0,8.727941,0.098471,20.23197,0.101394,1,1,2012,0,0,0,,,,0,0.837368,824.83794,0,1,6.805627,37,0,0,0
2011,12.76,0,C34,1.287953,1,0,22.1623,0.0184416,2.890372,0,8.755107,0.09634,20.34454,0.098839,1,1,2012,0,0,0,,,,0,0.85895627,824.83794,0,1,6.914949,37,0,0,0
2008,21.02,0,C29,1.816475,1,0,21.46395,0.1358188,2.70805,0,7.406104,0.012229,19.72795,0.037269,1,1,2017,0,0,0,5.738441,11.060241,244.3,1,0.77861653,53.861007,0,0,7.148882,38,0,0,0
2009,18.29,0,C29,1.902297,1,0,21.60251,0.1062381,2.772589,0,7.466799,0.011373,19.40294,0.09076,1,1,2017,0,0,0,5.747991,10.961407,245.47,1,0.7995184,53.861007,0,0,7.18901,38,0,0,0
2012,,0,C26,1.707019,1,0,21.87864,-0.0441761,2.944439,0,7.3473,0.00951,20.27178,0.076187,1,1,2017,0,0,0,5.557896,12.615144,249.14,1,0.88744107,53.861007,0,0,7.146439,38,0,0,0
2013,15.47,0,C26,1.623704,1,0,21.97347,0.0152611,2.995732,0,7.370231,0.008755,19.6603,0.064841,1,1,2017,0,0,0,5.686859,12.85983,249.86,1,0.9118384,54.833517,0,0,7.157588,38,0,0,0
2014,,0,C26,1.975297,1,0,22.13494,0.0139557,3.044523,0,7.290293,0.026326,20.336,0.072073,1,1,2017,0,0,0,5.6738,12.925458,250.75,1,0.9402768,54.833517,0,0,7.18576,38,0,0,0
2015,15.78,0,C26,2.022933,1,0,22.14677,0.0100471,3.091043,0,7.336286,0.027378,19.79693,0.077591,1,1,2017,0,0,0,5.675665,13.004408,252.19,1,0.96880933,54.833517,0,1,7.162006,38,0,0,0
2016,7.82,1,D45,2.412487,0,0,22.18248,-0.0769301,3.135494,0,7.383368,0.033592,,0.104975,1,1,2012,0,0,1,5.788312,12.656969,254.03,1,,724.01001,,0,7.160334,38,0,0,
2009,22.8,0,C30,1.352698,0,0,20.05751,-0.2664199,2.639057,0,8.148446,0.054225,17.29438,,1,0,,0,0,0,4.674789,8.3003158,221.61,1,0.7852736,587.5696,0,0,7.161489,39,1.9459101,0.5,0.1586861
2012,52.63,1,F51,1.646966,0,0,19.92706,0.0110133,2.833213,0,4.564348,0.046238,,0.02246,0,1,2012,0,0,1,4.879864,9.7098222,221,1,,587.5696,0,0,7.123005,39,1.3862944,0,0.1454433
2013,30.09,0,F51,1.505215,0,0,20.17295,0.0319356,2.890372,0,4.634729,0.03924,17.87508,0.023503,0,0,,0,0,0,5.307624,9.6710155,222.86,1,0.8903488,587.5696,0,1,7.067375,39,1.6094379,0,0.1520485
2014,,0,F51,1.431536,0,0,19.939,-0.1072811,2.944439,0,3.828641,0.039126,17.34392,0.025843,0,1,2017,0,0,0,5.307064,10.487535,223.71,1,0.92729333,12.720812,0,1,7.104361,39,0.69314718,0,0.1511954
2015,,0,F51,1.199064,0,0,19.95518,-0.1316517,2.995732,0,3.663562,0.038908,18.6022,0.026824,0,1,2017,0,0,0,5.332027,9.9636031,227.22,1,0.94303067,12.720812,0,1,7.18444,39,0,0,0.1510017
2009,4.01,0,F52,1.231263,0,0,21.33761,0.0383422,2.833213,0,6.44254,0.069134,19.13162,0.03968,0,1,2010,0,0,0,5.823618,6.0224566,245.57,1,0.80500133,,0,0,6.787514,40,0,0,0
2009,60.28,0,C39,2.760671,1,0,19.7131,-0.0850913,2.890372,0,6.458338,0.22718,17.19054,0.040875,1,1,2012,0,0,0,4.803204,7.4207499,229.88,1,0.799936,12.720812,0,0,6.991722,41,0,0,0
2010,,0,C39,2.748957,1,0,19.7421,0.011002,2.944439,0,6.336826,0.086707,17.49495,0.053457,1,1,2012,0,0,0,4.832344,8.8218293,229.66,1,0.836392,12.720812,0,1,7.015866,41,0,0,0
2011,33.17,0,C39,3.273314,1,0,19.74007,0.0324054,2.995732,0,6.376727,0.087691,17.36031,0.068822,1,1,2012,0,0,0,4.850659,8.3619514,229.91,1,0.85660853,12.720812,0,1,6.932456,41,0,0,0
2011,36.27,1,L71,1.845692,0,0,23.64726,0.0369107,2.944439,0,3.73767,0.220127,19.77559,0.324696,0,1,2010,0,0,0,4.641927,4.3567153,252.47,0,0.84205093,,0,1,6.896709,42,0,0,0
2012,0.25,0,F52,1.883706,0,0,22.03359,0.0427022,2.833213,0,8.473032,0.204113,16.10927,0.042674,0,1,2017,0,0,0,5.321838,6.4463802,235.34,1,0.8924928,12.720812,0,0,6.902996,43,0,0,0
2013,0.22,0,F52,1.922128,0,0,22.06219,0.038631,2.890372,0,8.353968,0.204125,16.06861,0.041336,0,1,2017,0,0,0,5.370033,7.8185047,236.58,1,0.912428,12.720812,0,0,7.082204,43,0,0,0
2014,0.71,0,F52,2.049971,0,0,22.05289,0.0363052,2.944439,0,8.319717,0.204112,16.48478,0.037904,0,1,2017,0,0,0,5.398556,8.4586434,237.82,1,0.9324976,12.720812,0,0,6.785752,43,0,0,0
2015,0.38,0,F52,2.053216,0,0,22.06952,0.0290657,2.995732,0,8.297295,0.201882,16.58712,0.032906,0,1,2017,0,0,0,5.461167,8.7626015,241.04,1,0.93502267,12.720812,0,1,6.766033,43,0,0,0
2016,0.54,0,F52,2.104645,0,0,22.10394,0.0297712,3.044523,0,8.336869,0.197193,16.76961,0.038945,0,1,2017,0,0,0,5.517702,9.3039581,243.82,1,0.9630912,12.720812,0,1,6.87197,43,0,0,0
2009,5.4,0,C28,1.569539,1,0,21.72786,0.0039029,2.833213,0,8.373322,0.043268,18.41698,0.051978,1,1,2010,0,0,0,4.031043,2.154171,227.96,0,0.7816544,832.10924,0,1,7.347589,44,0,0,0
2010,3.87,0,C28,1.456075,1,0,21.79357,-0.0307059,2.890372,0,8.395251,0.04676,18.32004,0.077681,1,1,2012,0,0,0,4.111113,2.1881385,228.64,0,0.821048,832.10924,0,1,7.230884,44,0,0,0
2011,4.52,0,C28,1.247063,1,0,21.83379,-0.1040858,2.944439,0,8.314097,0.045711,18.46637,0.055929,1,0,,0,0,0,4.337328,2.1552178,229.5,0,0.85813787,832.10924,0,0,7.19539,44,0,0,0
2012,,0,S90,1.830563,0,0,21.67515,0.0399645,3.044523,0,8.205492,0.095981,19.35039,0.120758,0,0,,0,0,0,5.80267,18.912661,250.83,1,0.86473387,832.10924,0,0,7.322666,45,0,0,0.1647193
2013,,0,S90,2.087943,0,0,21.60411,0.0387876,3.091043,0,8.155075,0.095981,19.32264,0.13043,0,0,,0,0,0,6.084322,21.742381,251.83,1,0.8863888,832.10924,0,0,7.272581,45,0,0.5,0.162946
2014,,0,S90,2.579885,0,0,21.56007,0.0711721,3.135494,0,8.140899,0.096026,19.26229,0.095788,0,0,,0,0,0,6.193389,26.945716,254.06,1,0.93142773,832.10924,0,0,7.169725,45,0,0.5,0.1646722
2015,4.05,0,D45,2.107322,0,0,22.6228,0.0801774,3.178054,0,8.76764,0.248206,18.90553,0.094835,1,0,,0,0,0,6.27863,26.664746,254.93,1,0.94556933,832.10924,0,0,7.137525,45,0,0.3333333,0.168389
2009,2.79,0,C27,4.739522,1,0,21.86005,0.1625025,2.833213,0,8.370547,0.055892,17.87776,0.112432,0,1,2017,0,0,0,3.876108,7.3474282,212.53,1,0.8100512,670.84367,0,0,7.262621,46,0,0.25,0
2010,2.95,0,C27,4.610419,1,0,22.00357,0.1769674,2.890372,0,8.597851,0.055388,18.10329,0.122275,0,1,2017,0,0,0,3.949086,7.5988184,215.72,1,0.822456,268.28465,0,0,7.317665,46,0,0.5,0
2011,3.06,0,C27,5.625804,1,0,22.1646,0.2224571,2.944439,0.6931472,8.642062,0.054173,18.25002,0.113831,0,1,2017,0,0.25,0,4.06923,7.6876738,217.98,1,0.84692,268.28465,0.0299787,0,7.227684,46,0,0,0.1821037
2010,19.27,0,C35,1.945893,1,0,23.93415,0.1463838,2.890372,0,9.367259,0.247886,22.30389,0.121859,1,0,,0,0,0,4.955788,9.9242792,230.08,1,0.83104,56.762166,0,0,7.265754,47,0,0,0
2011,7.23,0,C35,1.77484,1,0.5,24.2704,0.1135383,2.944439,0,9.717459,0.246072,21.59148,0.12116,1,0,,0.5,0,0,5.018535,10.092697,231.13,1,0.84153013,56.762166,0,0,7.179932,47,0,0,0
2012,8.18,0,C35,1.629511,1,0.5,24.53787,0.0615887,2.995732,0,9.629445,0.245784,21.68973,0.103011,1,0,,0.5,0,0,5.057017,9.9302075,231.95,1,0.88515413,56.762166,0,0,7.235159,47,0,0,0
