stkcd,year,city,DEPTH,EXTEND,DIG,DID,policy1,policy2,CRE,IA,UD,RES_TOPSIS,FAG,LE,OPEN,GOV,DIS,DEVELOP,ADAPT,RECOVER,RESIS,RES,AGE,PROFIT,BOARD,TOP5,RD,SIZE,SDS,CSP,CSC,instrument1,instrument2,IPP,AGE2,DIDtime
1,2015,1,0.3000318,0.03,0,0,0,0,-0.12,0.02,0.1934,0.385259,1.81,7.6285704,8.18017,0.25,,0.2832615,0.3191971,0.3420096,0.3364345,0.4049838,23,1.9,7,0.41,7.24,22,1,,,85,17,1,529,0
1,2016,1,0.2557999,0.03,0,0,1,0,-0.15,0.02,0.3904,0.3952343,1.75,7.2859489,8.21101,0.25,,0.3266268,0.3262161,0.3097912,0.3563835,0.3870086,24,5.31,7,0.27,7.29,22.83,1,,,60,12,1,576,0
1,2017,1,0.3046367,0.22,0,0,1,0,-0.18,0.02,0.4005,0.4122972,1.72,7.1400175,8.54007,0.24,,0.3745058,0.2632762,0.3041829,0.3865117,0.3942544,25,8.9,7,0.25,8.82,23.09,0,,,45,9,1,625,0
1,2018,1,0.2999299,0.02,1,0,1,0,-0.23,0.02,0.4341,0.4195532,1.65,7.1907762,8.35498,0.25,,0.4003061,0.2459733,0.343974,0.3816692,0.391386,26,3.42,9,0.28,9.47,23.07,1,,,35,7,1,676,0
1,2019,1,0.2431382,0.02,1,0,1,0,-0.24,0.02,0.4607,0.423658,1.69,8.2630546,8.27785,0.21,,0.399512,0.2906367,0.3384063,0.3644523,0.3748032,27,4.57,9,0.38,8.39,23.21,1,,,60,12,1,729,0
1,2020,1,0.2936508,0.23,1,0,1,0,-0.2,0.03,0.4574,0.4264991,1.89,8.5485726,8.34469,0.2,,0.3904004,0.3303575,0.4322486,0.3930748,0.318918,28,-8.92,9,0.41,13.64,23.27,1,,,120,24,1,784,0
1,2021,1,0.3528655,0.33,1,0,1,0,-0.14,0.02,0.4549,0.42598,2.11,8.8404353,8.41153,0.18,,0.4134755,0.3090795,0.4589244,0.395234,0.3162903,29,-9.52,9,0.42,11.46,23.24,1,,,180,36,1,841,0
1,2022,1,0.2863463,0.24,1,0,1,0,-0.13,0.06,0.4526,0.4257249,2.23,9.214781,8.46295,0.18,,0.3887439,0.2999738,0.4186967,0.4003833,0.3347017,30,-8.47,9,0.41,12.69,23.14,1,,,150,30,1,900,0
2,2012,1,0.1196549,0.2,0,0,0,0,0.01,0.03,0.0738,0.3654676,1.51,6.8418099,7.93851,0.21,7.153173,0.4229728,0.3423797,0.3643695,0.4146226,0.3050429,17,0.04,11,0.38,3.4,19.84,1,1,1,45,9,0,289,0
2,2014,1,0.1755856,0.1,0,0,0,0,0.01,0.01,0.4868,0.3756674,1.84,7.7427775,7.98479,0.21,7.243386,0.4523221,0.336068,0.5037608,0.2807535,0.3392417,19,-0.75,10,0.46,0.3,20.51,0,1,1,25,5,0,361,0
3,2010,152,0.2057242,0.04,0,0,0,0,0.05,0.03,0.1508,0.2874869,1.19,4.8114602,7.65059,0.13,7.243386,0.4254679,0.4254848,0.3121651,0.3291257,0.3129723,18,15.97,9,0.22,2.02,23.25,1,1,1,16,0,0,324,0
3,2011,152,0.2171764,0.04,0,0,0,0,0.05,0.06,0.1558,0.3383228,1.38,4.8304948,7.66087,0.14,7.243386,0.4215945,0.3889276,0.3308371,0.3357853,0.3208019,19,13.38,9,0.25,2.16,23.45,1,1,1,10,0,0,361,0
3,2012,152,0.2283467,0.04,0,0,0,0,0.06,0.06,0.161,0.3656689,1.31,5.4078754,7.71743,0.12,7.243386,0.4577036,0.3807464,0.3655308,0.3325886,0.3099295,20,3.7,9,0.24,2.31,23.39,1,1,1,28,0,1,400,0
3,2013,152,0.1982235,0.06,0,0,0,0,0.04,0.06,0.1812,0.3712284,0.78,5.4776687,7.73285,0.12,7.243386,0.4328228,0.3843067,0.2868705,0.3394282,0.3290499,21,16.21,9,0.24,2.47,23.44,1,1,1,26,0,1,441,0
3,2014,152,0.1461564,0.05,0,0,0,0,0.03,0.06,0.1716,0.3744673,0.65,7.2478798,7.75856,0.14,7.243386,0.4556814,0.380951,0.2687125,0.3622091,0.3240172,22,8.54,9,0.26,2.95,23.45,1,1,1,26,0,1,484,0
3,2015,152,0.1551372,0.03,0,0,0,0,0,0.05,0.1743,0.3857939,0.64,7.2605695,7.82026,0.2,7.243386,0.4513969,0.3290451,0.3755409,0.3672293,0.32119,23,5.48,5,0.3,3.23,23.47,1,1,1,44,0,1,529,0
3,2016,152,0.1639712,0.04,0,0,1,0,0.01,0.06,0.1746,0.3949634,0.62,7.0321552,7.87167,0.22,7.243386,0.4262347,0.310892,0.3487951,0.3611867,0.3502776,24,8.04,7,0.39,3.81,23.57,1,1,1,48,0,1,576,0
3,2017,152,0.162017,0.02,0,0,1,0,0.02,0.05,0.1819,0.4127705,0.54,7.0258103,7.92823,0.2,7.243386,0.4279866,0.3008062,0.3835607,0.3516345,0.358548,25,8.29,9,0.39,3.38,23.7,1,1,1,52,0,1,625,0
3,2018,152,0.1328187,0.04,1,0,1,0,0.01,0.05,0.2062,0.4206754,0.91,7.2351901,7.9745,0.18,7.243386,0.4440742,0.2959377,0.3933811,0.3590918,0.354211,26,4.72,8,0.39,3.6,23.67,1,1,1,50,0,1,676,0
3,2019,152,0.1154341,0.03,1,0,1,0,0.03,0.06,0.2161,0.4235816,1,8.5929865,7.96936,0.17,7.243386,0.4410568,0.2972095,0.3827225,0.3592649,0.3543419,27,5.6,8,0.39,4.21,23.62,1,1,1,56,0,1,729,0
3,2020,152,0,0,1,0,1,0,0.02,0.06,0.2273,0.4260496,1.12,9.1894017,8.00535,0.15,7.243386,0.4428156,0.3054795,0.3697591,0.3464898,0.3578194,28,8.12,9,0.37,4.07,23.61,1,1,1,66,0,1,784,0
3,2021,152,0,0,1,0,1,0,0.05,0.06,0.2273,0.4260544,1.31,9.8302308,8.04134,0.15,7.243386,0.4266011,0.3095147,0.3479881,0.3384175,0.3684323,29,15.61,9,0.37,4.04,23.72,1,1,1,32,0,1,841,0
3,2022,152,0,0,1,0,1,0,0.06,0.06,0.2201,0.4261957,1.36,10.528163,8.07733,0.15,7.243386,0.4165091,0.3104549,0.3711368,0.3442699,0.3621674,30,20.43,9,0.45,4.32,23.98,1,1,1,46,0,1,900,0
4,2010,152,0.0652548,0.09,0,0,0,0,-0.11,0.01,0.1286,0.2867987,1.19,4.8114602,7.65059,0.13,7.243386,0.4431735,0.3599513,0.3538142,0.3386203,0.3250129,18,1.01,9,0.51,0.99,23.52,1,1,1,24,8,0,324,0
4,2011,152,0.018098,0.21,0,0,0,0,-0.22,0.01,0.1356,0.3368732,1.38,4.8304948,7.66087,0.14,7.243386,0.4574724,0.3751841,0.3832669,0.3374294,0.3059858,19,0.24,9,0.5,1.03,23.55,1,1,1,15,5,0,361,0
4,2012,152,0.0360048,0.28,0,0,0,0,-0.19,0.02,0.1512,0.3678337,1.31,5.4078754,7.71743,0.12,7.243386,0.4504442,0.4065629,0.3784232,0.3620194,0.277368,20,0.45,9,0.52,1.07,23.53,1,1,1,42,14,1,400,0
4,2013,152,0.0658372,0.16,0,0,0,0,-0.15,0.02,0.1447,0.37192,0.78,5.4776687,7.73285,0.12,7.243386,0.4528307,0.3576572,0.3687785,0.3684815,0.301294,21,0.6,9,0.49,1.11,23.48,0,1,1,39,13,1,441,0
4,2014,152,0.0613645,0.1,0,0,0,0,-0.12,0.02,0.15,0.3733298,0.65,7.2478798,7.75856,0.14,7.243386,0.4559536,0.3336182,0.4221833,0.3638573,0.3041225,22,0.61,9,0.52,1.16,23.54,0,1,1,39,13,1,484,0
4,2015,152,0.0841427,0.26,0,0,0,0,-0.06,0.02,0.1481,0.3878233,0.64,7.2605695,7.82026,0.2,7.243386,0.4860806,0.3604192,0.4067447,0.3652434,0.2850767,23,-9.52,9,0.42,1.25,23.38,1,1,1,66,22,1,529,0
4,2016,152,0.1645698,0.1,0,0,1,0,-0.01,0.02,0.1427,0.396468,0.62,7.0321552,7.87167,0.22,7.243386,0.4501298,0.3308594,0.4365557,0.3405983,0.3219759,24,0.92,9,0.42,1.35,23.57,1,1,1,72,24,1,576,0
4,2017,152,0.1805172,0.05,0,0,1,0,-0.18,0.01,0.1402,0.4138983,0.54,7.0258103,7.92823,0.2,7.243386,0.3926902,0.3250007,0.3755082,0.3528602,0.3462216,25,50.87,9,0.42,1.06,23.88,1,1,1,78,26,1,625,0
4,2018,152,0.2007378,0.04,1,0,1,1,-0.09,0.02,0.1367,0.4215613,0.91,7.2351901,7.9745,0.18,7.243386,0.4426151,0.3102832,0.4313483,0.3566092,0.32512,26,6.69,9,0.42,0.86,24.22,1,1,1,75,25,1,676,0
4,2019,152,0.1722035,0.06,1,0,1,1,-0.03,0.03,0.1407,0.424389,1,8.5929865,7.96936,0.17,7.243386,0.4579843,0.2821093,0.4251463,0.3515079,0.3444626,27,3.35,9,0.42,0.91,24.47,0,1,1,84,28,1,729,0
4,2020,152,0.1260072,0.03,1,0,1,1,0.07,0.02,0.1778,0.4267107,1.12,9.1894017,8.00535,0.15,7.243386,0.4709451,0.2800234,0.4165061,0.3508333,0.3414149,28,5.4,9,0.41,1.36,24.63,0,1,1,99,33,1,784,0
4,2021,152,0.1103132,0.17,1,0,1,1,-0.02,0.02,0.2094,0.4273137,1.31,9.8302308,8.04134,0.15,7.243386,0.4776549,0.3308945,0.4226435,0.3460564,0.3141786,29,8.07,9,0.38,1.29,24.41,0,1,1,48,16,1,841,0
4,2022,152,0.1074543,0.28,1,0,1,1,0.01,0.03,0.2319,0.4272557,1.36,10.528163,8.07733,0.15,7.243386,0.5074095,0.3307013,0.4625315,0.340059,0.3060703,30,-9.52,9,0.38,1.39,24.36,0,1,1,69,23,1,900,0
5,2010,152,0.2783776,0.2,0,0,0,0,0.07,0.18,0.2656,0.2589599,1.19,4.8114602,7.65059,0.13,7.243386,0.380033,0.3637518,0.3413794,0.4035888,0.3158844,18,0.64,11,0.28,0.02,19.84,0,1,1,24,8,0,324,0
5,2011,152,0.2224469,0.1,0,0,0,0,0.17,0.18,0.2857,0.3454692,1.38,4.8304948,7.66087,0.14,7.243386,0.3770123,0.4393515,0.3623413,0.3797482,0.282755,19,0.4,11,0.4,0.03,19.84,0,1,1,15,5,0,361,0
5,2012,152,0,0,0,0,0,0,0.4,0.15,0.3038,0.3721328,1.31,5.4078754,7.71743,0.12,7.243386,0.3934472,0.3530747,0.4025249,0.3720702,0.3166894,20,-0.52,11,0.39,0.05,19.84,0,1,1,42,14,1,400,0
5,2014,152,0,0,0,0,0,0,0.07,0.09,0.3878,0.3797287,0.65,7.2478798,7.75856,0.14,7.243386,0.4056487,0.3492309,0.3345276,0.3168606,0.357323,22,0.06,9,0.4,0.16,19.84,0,1,1,39,13,1,484,0
5,2015,152,0,0,0,0,0,0,0,0.08,0.1667,0.3930689,0.64,7.2605695,7.82026,0.2,7.243386,0.4365749,0.3440464,0.3994512,0.3037326,0.3516054,23,0,8,0.47,0.27,19.84,0,1,1,66,22,1,529,0
5,2016,152,0,0,0,0,1,0,-0.04,0.06,0.3585,0.4013815,0.62,7.0321552,7.87167,0.22,7.243386,0.4100714,0.3348731,0.3835445,0.3335613,0.3516358,24,0.04,8,0.42,0.46,19.84,0,1,1,72,24,1,576,0
5,2017,152,0,0,0,0,1,0,-0.26,0.03,0.3725,0.4170587,0.54,7.0258103,7.92823,0.2,7.243386,0.4261305,0.2909364,0.4202875,0.3372812,0.3640684,25,0.02,9,0.37,0.67,19.84,0,1,1,78,26,1,625,0
5,2018,152,0.4075325,0.1,1,0,1,0,-0.34,0.02,0.3585,0.4252151,0.91,7.2351901,7.9745,0.18,7.243386,0.4624221,0.319079,0.4561435,0.3736534,0.3211553,26,-0.02,9,0.42,0.75,19.84,0,1,1,75,25,1,676,0
5,2019,152,0.3516017,0.22,1,0,1,0,-0.34,0.01,0.4068,0.4279369,1,8.5929865,7.96936,0.17,7.243386,0.4952056,0.3105324,0.4870534,0.366724,0.3153774,27,-0.08,9,0.42,3.62,19.84,0,1,1,84,28,1,729,0
5,2020,152,0.3221757,0.22,1,0,1,0,-0.08,0.01,0.3846,0.4297226,1.12,9.1894017,8.00535,0.15,7.243386,0.3960627,0.3177742,0.3853984,0.3916014,0.3379007,28,0.04,9,0.4,2.13,19.84,0,1,1,99,33,1,784,0
5,2021,152,0,0,1,0,1,0,-0.34,0.01,0.3443,0.4307489,1.31,9.8302308,8.04134,0.15,7.243386,0.4629408,0.3246171,0.4063336,0.3643059,0.3259017,29,-0.02,9,0.41,1.23,19.84,0,1,1,48,16,1,841,0
5,2022,152,0.2587659,0.02,1,0,1,0,-0.34,0,0.3651,0.4300306,1.36,10.528163,8.07733,0.15,7.243386,0.3375387,0.3063299,0.3855444,0.3570246,0.3790272,30,-0.08,9,0.41,2.11,19.84,0,1,1,69,23,1,900,0
6,2010,152,0.3245363,0.01,0,0,0,0,-0.04,0.28,0.108,0.2843223,1.19,4.8114602,7.65059,0.13,7.243386,0.3300729,0.3766215,0.4035117,0.3395057,0.339411,18,0.09,9,0.44,1.12,20.31,0,1,1,16,0,0,324,0
6,2011,152,0,0,0,0,0,0,-0.04,0.19,0.121,0.3330064,1.38,4.8304948,7.66087,0.14,7.243386,0.3194408,0.3252546,0.4278617,0.2565004,0.409749,19,0.1,9,0.25,1.57,20.78,0,1,1,10,0,0,361,0
6,2012,152,0.3126991,0.01,0,0,0,0,-0.07,0.16,0.1475,0.3596844,1.31,5.4078754,7.71743,0.12,7.243386,0.3653788,0.3301658,0.3982898,0.2960617,0.3750165,20,0.74,9,0.28,2.21,20.92,0,1,1,28,0,1,400,0
6,2013,152,0.2839347,0.02,0,0,0,0,-0.06,0.15,0.1476,0.3657676,0.78,5.4776687,7.73285,0.12,7.243386,0.3591943,0.3336418,0.4156939,0.3415938,0.3467081,21,0.45,9,0.29,3.11,21.01,0,1,1,26,0,1,441,0
6,2014,152,0.3126991,0.02,0,0,0,0,-0.08,0.17,0.1744,0.3688823,0.65,7.2478798,7.75856,0.14,7.243386,0.3453726,0.3461734,0.3833101,0.2842407,0.383633,22,0.14,9,0.31,5.98,20.87,1,1,1,26,0,1,484,0
6,2015,152,0.3209647,0.03,0,0,0,0,-0.06,0.18,0.2002,0.383883,0.64,7.2605695,7.82026,0.2,7.243386,0.3282811,0.3598247,0.4390157,0.2590899,0.3928363,23,-0.43,9,0.39,2.55,20.78,0,1,1,44,0,1,529,0
6,2016,152,0.331623,0.01,0,0,1,0,-0.04,0.17,0.2185,0.3936855,0.62,7.0321552,7.87167,0.22,7.243386,0.3052607,0.3673919,0.3675947,0.2643698,0.4096575,24,0.9,9,0.46,2.84,20.89,1,1,1,48,0,1,576,0
6,2017,152,0.3752882,0.12,0,0,1,0,-0.06,0.18,0.2108,0.4109647,0.54,7.0258103,7.92823,0.2,7.243386,0.3247085,0.3497979,0.4635026,0.2365718,0.4153063,25,-0.61,9,0.47,2.78,20.79,1,1,1,52,0,1,625,0
6,2018,152,0.3100357,0.02,1,0,1,0,0.02,0.09,0.3075,0.4189466,0.91,7.2351901,7.9745,0.18,7.243386,0.3061621,0.3380867,0.389627,0.3473769,0.3754769,26,3.21,9,0.78,0.1,22.59,0,1,1,50,0,1,676,0
6,2019,152,0.3558888,0.01,1,0,1,0,0.01,0.09,0.3423,0.4219743,1,8.5929865,7.96936,0.17,7.243386,0.4469143,0.3327836,0.301337,0.3617461,0.3473339,27,3.85,9,0.78,0.35,22.64,0,1,1,56,0,1,729,0
6,2020,152,0.3220992,0.02,1,0,1,0,0.04,0.08,0.3539,0.4245201,1.12,9.1894017,8.00535,0.15,7.243386,0.4458166,0.3430147,0.3001665,0.3645658,0.3422987,28,4.04,9,0.77,0.39,22.71,0,1,1,66,0,1,784,0
6,2021,152,0.3939318,0.01,1,0,1,0,0,0.08,0.3811,0.4257649,1.31,9.8302308,8.04134,0.15,7.243386,0.4391734,0.4278695,0.2952811,0.368825,0.3033189,29,4.36,9,0.77,0.84,22.76,1,1,1,32,0,1,841,0
6,2022,152,0,0,1,0,1,0,0.01,0.07,0.3956,0.4255561,1.36,10.528163,8.07733,0.15,7.243386,0.4337113,0.4184674,0.2927285,0.3677804,0.3095309,30,4.18,9,0.76,1.18,22.73,1,1,1,46,0,1,900,0
7,2010,152,0,0,0,0,0,0,-0.07,0.07,0.0467,0.2952386,1.19,4.8114602,7.65059,0.13,7.374578,0.4442821,0.3983409,0.4090276,0.3350766,0.2919996,18,0.09,7,0.63,0.06,20.4,0,1,1,24,8,0,324,0
7,2011,152,0,0,0,0,0,0,-0.12,0.08,0.0508,0.3452516,1.38,4.8304948,7.66087,0.14,7.374578,0.4525864,0.4056221,0.4157598,0.3404416,0.2811295,19,0.1,7,0.63,0.08,20.32,0,1,1,15,5,0,361,0
7,2012,152,0,0,0,0,0,0,-0.2,0.07,0.0462,0.3720166,1.31,5.4078754,7.71743,0.12,6.97527,0.4646523,0.3467401,0.4205941,0.3378842,0.3164142,20,0.03,7,0.63,0.11,20.34,0,0.6666667,0.6666667,42,14,1,400,0
7,2013,152,0,0,0,0,0,0,-0.33,0.07,0.0449,0.3764897,0.78,5.4776687,7.73285,0.12,7.213272,0.4646103,0.3413213,0.427664,0.3469537,0.3145624,21,-0.07,7,0.64,0.15,20.41,0,1,1,39,13,1,441,0
7,2014,152,0,0,0,0,0,0,-0.1,0.04,0.0397,0.3782095,0.65,7.2478798,7.75856,0.14,7.374578,0.4415122,0.3205054,0.3338301,0.3341325,0.3549087,22,0.08,7,0.64,0.2,20.87,0,1,1,39,13,1,484,0
7,2015,152,0.3916397,0.1,0,0,0,0,-0.05,0.04,0.0426,0.3923749,0.64,7.2605695,7.82026,0.2,7.374578,0.4775591,0.3313063,0.4256886,0.2826496,0.3570546,23,-0.04,7,0.61,0.26,20.87,0,1,1,66,22,1,529,0
7,2016,152,0.3916397,0.02,0,0,1,0,-0.18,0.07,0.051,0.3995715,0.62,7.0321552,7.87167,0.22,7.374578,0.4572007,0.2864008,0.4324956,0.3658074,0.3473307,24,0.05,6,0.6,0.35,20.27,0,1,1,72,24,1,576,0
7,2017,152,0.3737539,0.02,0,0,1,0,-0.18,0.07,0.0373,0.4169161,0.54,7.0258103,7.92823,0.2,7.374578,0.4524636,0.2845469,0.4152195,0.354955,0.3551662,25,0.01,6,0.6,0.46,20.26,0,1,1,78,26,1,625,0
7,2018,152,0.3477776,0.01,1,0,1,0,-0.21,0.07,0.0531,0.424711,0.91,7.2351901,7.9745,0.18,7.374578,0.4683548,0.3038142,0.3872218,0.3609714,0.342131,26,0.03,6,0.59,0.61,20.24,0,1,1,75,25,1,676,0
7,2019,152,0.4016324,0.02,1,0,1,0,-0.06,0.07,0.0591,0.4278364,1,8.5929865,7.96936,0.17,7.374578,0.453864,0.2967083,0.3775319,0.3700942,0.3509071,27,0.05,6,0.59,0.81,20.24,0,1,1,84,28,1,729,0
7,2020,152,0.3972736,0.01,1,0,1,0,-0.08,0.07,0.0574,0.4308679,1.12,9.1894017,8.00535,0.15,7.374578,0.4602806,0.3460379,0.3701769,0.3806558,0.3132183,28,0.07,6,0.63,1.07,20.26,0,1,1,99,33,1,784,0
7,2021,152,0.3777788,0.21,1,0,1,0,-0.2,0.06,0.0574,0.4301642,1.31,9.8302308,8.04134,0.15,7.374578,0.460472,0.3224567,0.3815365,0.3873933,0.3227555,29,0.07,6,0.63,1.41,20.31,0,1,1,48,16,1,841,0
7,2022,152,0,0,1,0,1,0,-0.11,0.06,0.0966,0.4299463,1.36,10.528163,8.07733,0.15,7.374578,0.4680363,0.3234537,0.4034465,0.3781346,0.3199418,30,0.1,6,0.63,1.86,20.23,0,1,1,69,23,1,900,0
8,2010,152,0.2754637,0.04,0,0,0,0,-0.07,0,0.0551,0.2814841,1.19,4.8114602,7.65059,0.13,7.570572,0.4544808,0.3177517,0.4072455,0.3263897,0.3337319,16,3.56,6,0.67,0.77,22.62,0,1,1,24,8,0,256,0
8,2011,152,0.2874672,0.02,0,0,0,0,-0.08,0.01,0.0608,0.3360909,1.38,4.8304948,7.66087,0.14,7.570572,0.4614262,0.336009,0.4314929,0.3015968,0.3363968,17,2.2,6,0.72,0.84,23.06,0,1,1,15,5,0,289,0
8,2012,152,0.2902269,0.13,0,0,0,0,-0.07,0.01,0.0644,0.3613781,1.31,5.4078754,7.71743,0.12,7.570572,0.489798,0.2458866,0.4186708,0.30084,0.3867626,18,0.08,6,0.71,0.91,23.04,0,1,1,42,14,1,324,0
8,2013,152,0.3944299,0.02,0,0,0,0,-0.03,0.01,0.0713,0.365522,0.78,5.4776687,7.73285,0.12,7.570572,0.4680895,0.2408161,0.4374655,0.2846477,0.3987909,19,1.59,6,0.61,0.99,23.34,0,1,1,39,13,1,361,0
8,2014,152,0.3734238,0.14,0,0,0,0,-0.05,0.01,0.0599,0.3704953,0.65,7.2478798,7.75856,0.14,7.570572,0.4795699,0.2655414,0.4366946,0.2895889,0.3817995,20,1.61,6,0.66,0.92,23.39,0,1,1,39,13,1,400,0
8,2015,152,0.3280095,0.14,0,0,0,0,-0.05,0.01,0.0654,0.3841728,0.64,7.2605695,7.82026,0.2,7.570572,0.4853482,0.2623436,0.4344762,0.288587,0.3847115,21,1.81,6,0.67,1.09,23.39,0,1,1,66,22,1,441,0
8,2016,152,0.2672218,0.14,0,0,1,0,-0.08,0.01,0.0386,0.3913316,0.62,7.0321552,7.87167,0.22,7.570572,0.4878338,0.2131974,0.4112444,0.3343316,0.4007794,22,2.24,6,0.69,1.11,23.18,0,1,1,72,24,1,484,0
8,2017,152,0.2701671,0.03,0,0,1,0,-0.01,0.01,0.061,0.4103145,0.54,7.0258103,7.92823,0.2,7.570572,0.4591721,0.2423183,0.4164233,0.3128126,0.3943254,23,5.74,6,0.69,1.12,23.53,0,1,1,78,26,1,529,0
8,2018,152,0.2608765,0.03,1,0,1,0,0.01,0.04,0.0761,0.4183295,0.91,7.2351901,7.9745,0.18,7.570572,0.467545,0.2437119,0.423407,0.3255295,0.3835039,24,5.65,6,0.68,1.24,23.5,0,1,1,75,25,1,576,0
8,2019,152,0.2536558,0.04,1,0,1,0,-0.11,0.03,0.068,0.4209071,1,8.5929865,7.96936,0.17,7.570572,0.4733836,0.2417481,0.4304793,0.324688,0.3828976,25,4.42,6,0.67,1.57,23.64,0,1,1,84,28,1,625,0
8,2020,152,0.2305824,0.05,1,0,1,0,-0.04,0.03,0.0776,0.4228757,1.12,9.1894017,8.00535,0.15,7.570572,0.457563,0.2470782,0.3871474,0.308138,0.3999679,26,9.53,6,0.59,1.7,23.8,0,1,1,99,33,1,676,0
8,2021,152,0.206554,0.04,1,0,1,0,0.01,0.02,0.0879,0.4224956,1.31,9.8302308,8.04134,0.15,7.570572,0.4567041,0.2574667,0.4237204,0.3057116,0.3892522,27,8.34,6,0.62,1.88,24.02,0,1,1,48,16,1,729,0
8,2022,152,0.2060881,0.03,1,0,1,0,-0.01,0.03,0.1285,0.4231215,1.36,10.528163,8.07733,0.15,7.570572,0.4725614,0.2613584,0.4242133,0.2981939,0.390214,28,6.89,6,0.64,2.05,24.05,0,1,1,69,23,1,784,0
9,2010,152,0.4218971,0.14,0,0,0,0,0.02,0,0.0913,0.3678323,1.19,4.8114602,7.65059,0.13,1.156756,0.4415863,0.4425023,0.4174244,0.3661987,0.2742322,17,0.04,9,0.92,0.07,20.21,1,0,0,16,0,0,289,0
9,2011,152,0.4218971,0.11,0,0,0,0,0.01,0,0.1018,0.4475881,1.38,4.8304948,7.66087,0.14,0.9679436,0.4771785,0.3926966,0.4250658,0.3568356,0.2888235,18,0.01,9,0.92,0.07,20.16,1,0,0,10,0,0,324,0
9,2012,152,0.4778278,0.02,0,0,0,0,0.06,0,0.1107,0.4907452,1.31,5.4078754,7.71743,0.12,0.9679436,0.525215,0.3083941,0.4152697,0.3588026,0.3254462,19,0.01,9,0.92,0.07,20.28,0,0,0,28,0,1,361,0
9,2013,152,0.4778278,0.04,0,0,0,0,0.07,0,0.1176,0.499459,0.78,5.4776687,7.73285,0.12,0.9679436,0.5261373,0.3431397,0.4061053,0.3806341,0.2948779,20,0.03,9,0.92,0.07,20.37,0,0,0,26,0,1,400,0
9,2014,152,0.4218971,0.07,0,0,0,0,0.03,0.07,0.1385,0.5030201,0.65,7.2478798,7.75856,0.14,6.218523,0.5047181,0.3653401,0.4125181,0.3664916,0.2954249,21,0.09,9,0.92,0.07,20.51,1,0.25,0.375,26,0,1,441,0
9,2015,152,0.4778278,0.09,0,0,0,0,0.03,0.05,0.1799,0.5213599,0.64,7.2605695,7.82026,0.2,6.218523,0.4582071,0.2930677,0.3629444,0.3610077,0.3584388,22,0.43,9,0.55,0.07,20.88,0,0.25,0.375,44,0,1,484,0
9,2016,152,0.4778278,0.02,0,0,1,0,0.02,0.05,0.1842,0.5356135,0.62,7.0321552,7.87167,0.22,6.040553,0.5075541,0.2973854,0.3478061,0.3507032,0.3599673,23,0.28,9,0.53,0.07,20.9,0,0.2,0.5,48,0,1,529,0
9,2017,152,0.5337586,0.16,0,0,1,0,0,0.04,0.2906,0.5606139,0.54,10.198232,8.95654,0.3,5.971913,0.5048424,0.3097475,0.3786862,0.3698689,0.3333741,24,0.66,9,0.55,0.07,21.06,0,0.2,0.2,52,0,1,576,0
9,2018,152,0.5337586,0.22,1,0,1,0,0,0.03,0.2963,0.5707417,0.91,10.407611,9.00281,0.28,5.971913,0.5009824,0.3246572,0.3879769,0.3789863,0.324226,25,0.86,9,0.56,0.07,21.23,1,0.2,0.2,50,0,1,625,0
9,2019,152,0.5337586,0.75,1,0,1,0,0.13,0.04,0.3146,0.6257455,1,11.765408,8.99767,0.27,5.971913,0.4931902,0.3093038,0.3329161,0.3175701,0.3797932,26,2.19,9,0.59,0.07,21.22,0,0.2,0.2,56,0,1,676,0
9,2020,152,0.5337586,0.67,1,0,1,0,0.18,0.04,0.3215,0.6284487,1.12,12.361823,9.03366,0.25,5.971913,0.5227323,0.2906301,0.3837689,0.3252046,0.3655431,27,0.6,9,0.63,0.07,21.26,0,0.2,0.2,66,0,1,729,0
9,2021,152,0.5337586,0.51,1,0,1,0,0.17,0.04,0.3352,0.6291783,1.31,13.002652,9.06965,0.25,5.971913,0.4879088,0.336253,0.3462994,0.3213965,0.3624477,28,1.32,9,0.65,0.07,21.34,0,0.2,0.2,32,0,1,784,0
9,2022,152,0.5337586,0.51,1,0,1,0,0.15,0.39,0.3718,0.629158,1.36,13.700585,9.10564,0.25,5.971913,0.4804441,0.3160288,0.4145912,0.3394103,0.3475354,29,0.81,9,0.71,0.07,21.53,0,0.2,0.2,46,0,1,841,0
10,2010,152,0.4405408,0.03,0,0,0,0,-0.02,0.01,0.1439,0.2822617,1.19,4.8114602,7.65059,0.13,5.971913,0.4688935,0.3468264,0.3876418,0.3401961,0.3321385,17,0.94,9,0.7,0.99,21.61,0,0.2,0.2,16,0,0,289,0
10,2011,152,0.4964715,0.06,0,0,0,0,-0.04,0.01,0.1457,0.3333645,1.38,4.8304948,7.66087,0.14,5.971913,0.4844957,0.332046,0.354848,0.3775983,0.3224504,18,1.59,9,0.64,1.01,21.79,0,0.2,0.2,10,0,0,324,0
10,2012,152,0.3700194,0.01,0,0,0,0,-0.05,0.01,0.1417,0.3643704,1.31,5.4078754,7.71743,0.12,5.971913,0.4217612,0.3725124,0.3298427,0.3455904,0.3220324,19,1.16,9,0.73,1.03,21.93,0,0.2,0.2,28,0,1,361,0
10,2013,152,0.3186618,0.03,0,0,0,0,-0.04,0.01,0.1455,0.3698989,0.78,5.4776687,7.73285,0.12,5.971913,0.4197851,0.3724482,0.3037542,0.3496791,0.3271793,20,1.3,9,0.77,1.2,21.99,0,0.2,0.2,26,0,1,400,0
