stkcd,year,city,DEPTH,EXTEND,DIG,DID,policy1,policy2,CRE,IA,UD,RES_TOPSIS,FAG,LE,OPEN,GOV,DIS,DEVELOP,ADAPT,RECOVER,RESIS,RES,AGE,PROFIT,BOARD,TOP5,RD,SIZE,SDS,CSP,CSC,instrument1,instrument2,IPP,AGE2,DIDtime
1730,2017,48,0.2990108,0.31,0,0,1,0,-0.09,0.01,0.674,0.4136294,1.38,8.5485726,8.56012,0.25,4.446837,0.3605648,0.3073021,0.3330831,0.177713,0.4862404,1,0.37,9,0.5,21.77,21.07,0,0.5,1,60,0,1,1,0
1730,2018,48,0.2147073,0.3,1,0,1,0,-0.09,0.03,0.6788,0.4204074,1.29,8.6754694,8.35498,0.26,4.446837,0.3735271,0.2465217,0.3791925,0.2501511,0.4591321,2,0.08,7,0.54,23.6,20.62,0,0.5,1,54,0,1,4,0
1730,2019,48,0,0,1,0,1,0,-0.16,0.02,0.6811,0.4245937,1.1,8.9927115,8.42696,0.21,4.446837,0.3726851,0.3018243,0.3468084,0.2501807,0.4339927,3,0.34,7,0.59,19.77,20.7,0,0.5,1,87,0,1,9,0
1730,2020,48,0.2216814,0.01,1,0,1,0,-0.1,0.02,0.6811,0.4268049,1.23,9.5574025,8.46295,0.21,4.446837,0.3785011,0.3216965,0.3175307,0.2659554,0.4192732,4,0.72,7,0.62,23.57,20.81,0,0.5,1,87,0,1,16,0
1730,2021,48,0.2960968,0.3,1,0,1,0,-0.07,0.02,0.6137,0.4253985,1.29,10.160163,8.6938,0.2,4.446837,0.3558865,0.2815798,0.3458456,0.2132666,0.4746181,5,0.66,9,0.48,23.6,21.85,0,0.5,1,87,0,1,25,0
1730,2022,48,0.1719742,0.3,1,0,1,0,-0.07,0.02,0.5895,0.4283029,1.26,10.572577,8.52465,0.2,4.446837,0.3819619,0.2562256,0.3806332,0.2245085,0.4676162,6,0.37,9,0.53,25.93,21.85,0,0.5,1,51,0,1,36,0
1731,2019,48,0.2354614,0.04,1,0,1,0,0.04,0.02,0.2066,0.4224299,1.1,8.9927115,8.42696,0.21,4.446837,0.4651817,0.2941189,0.389308,0.30635,0.37292,1,1.32,5,0.34,4.39,21.26,0,0.5,1,145,29,1,1,0
1731,2020,48,0.2238581,0.01,1,0,1,0,0.13,0.02,0.2392,0.4247806,1.23,9.5574025,8.46295,0.21,4.446837,0.4600998,0.3007317,0.3998149,0.3233163,0.360256,2,1.24,5,0.34,4.59,21.42,0,0.5,1,145,29,1,4,0
1731,2021,48,0.1959885,0.01,1,0,1,0,0.18,0.01,0.223,0.424798,1.29,10.160163,8.4938,0.2,4.446837,0.423749,0.3103189,0.4080344,0.3373711,0.3536572,3,1.18,5,0.34,3.54,21.67,1,0.5,1,145,29,1,9,0
1731,2022,48,0,0,1,0,1,0,0.03,0.01,0.2329,0.4277991,1.26,10.572577,8.52465,0.2,4.446837,0.4752188,0.3169397,0.4210273,0.3448004,0.3332094,4,0.62,5,0.34,3.34,21.55,1,0.5,1,85,17,1,16,0
1732,2020,63,0.096035,0.05,1,0,0,0,0.09,0.02,0.1677,0.4253454,1.08,9.0815393,7.3678,0.14,4.446837,0.4150975,0.353301,0.3011611,0.2685001,0.3964463,0,23.13,9,0.43,3.99,23.24,1,0.5,1,54,18,1,0,0
1732,2021,63,0.0780318,0.12,1,0,0,0,0.09,0.02,0.1647,0.4171314,1.16,9.9888518,7.37809,0.13,4.446837,0.437957,0.3181409,0.3124785,0.2789251,0.3979409,1,27.8,9,0.43,3.8,23.46,1,0.5,1,84,28,1,1,0
1732,2022,63,0.0769309,0.12,1,0,0,0,0.08,0.02,0.1711,0.4168297,1.18,10.509129,7.38323,0.13,4.446837,0.4272383,0.3035173,0.305334,0.2726792,0.4113682,2,31.85,9,0.44,3.91,23.54,1,0.5,1,81,27,1,4,0
1733,2017,48,0.064562,0.01,0,0,1,0,-0.01,0.09,0.1662,0.4160601,1.38,8.5485726,8.36012,0.25,4.446837,0.30378,0.3606376,0.3059558,0.2786406,0.4202415,0,0.77,7,0.56,2.83,20.85,1,0.5,1,60,0,1,0,0
1733,2018,48,0.0670774,0.04,1,0,1,0,0.05,0.08,0.1523,0.4237542,1.29,8.6754694,8.35498,0.26,4.446837,0.3243271,0.3617306,0.3133247,0.3661878,0.363313,1,0.28,7,0.57,3.61,20.97,1,0.5,1,54,0,1,1,0
1733,2019,48,0.0679813,0.06,1,0,1,0,0.05,0.08,0.1264,0.4235801,1.1,8.9927115,8.42696,0.21,4.446837,0.3298151,0.3381282,0.3221008,0.2832134,0.4140718,2,-0.05,7,0.57,3.67,20.85,1,0.5,1,87,0,1,4,0
1733,2020,48,0.1393753,0.05,1,0,1,0,0.06,0.08,0.1424,0.4290847,1.23,9.5574025,8.46295,0.21,4.446837,0.3367327,0.3657596,0.350409,0.3017357,0.3820168,3,-0.8,7,0.57,3.12,20.81,1,0.5,1,87,0,1,9,0
1733,2021,48,0.1093555,0.07,1,0,1,0,0.05,0.07,0.1377,0.4293435,1.29,10.160163,8.4938,0.2,4.446837,0.3312045,0.3833354,0.3114564,0.3280118,0.3705926,4,0.81,7,0.57,2.39,20.91,1,0.5,1,87,0,1,16,0
